timestamp,open,high,low,close,volume
2020-04-22,13.6300,14.4000,12.7200,13.0300,1668624
2020-04-21,13.4500,14.5200,13.4200,13.7500,2074956
2020-04-20,13.7000,14.3900,13.3000,13.9200,3383524
2020-04-17,13.4100,13.9300,13.0000,13.2800,2737014
2020-04-16,13.2800,14.6400,13.0500,14.4500,3669141
2020-04-15,12.3400,14.5000,12.2800,13.7300,5114845
2020-04-14,11.6500,13.5800,11.6000,12.9500,3803789
2020-04-13,12.3400,12.5999,11.5000,12.2500,2101212
2020-04-09,12.7000,12.9600,11.8000,12.3000,3123569
2020-04-08,14.1600,14.2000,12.9100,13.0000,4853904
2020-04-07,13.5500,13.9200,12.3000,12.3200,5519518
2020-04-06,16.0500,17.1000,14.0200,14.9600,4692857
2020-04-03,15.5000,17.4500,15.0300,15.8200,11057434
2020-04-02,16.0500,18.7500,13.8000,14.6300,16854208
2020-04-01,12.5400,17.5400,12.2000,17.2000,20723981
2020-03-31,12.0000,13.0000,11.5500,12.0800,2831073
2020-03-30,13.7500,14.4000,12.3100,13.3200,8205386
2020-03-27,9.6400,11.6094,9.2550,11.2000,7600647
2020-03-26,9.6100,9.6400,8.7500,9.3500,2184854
2020-03-25,9.1400,9.1500,8.5600,8.6800,1613587
2020-03-24,10.0500,10.3900,9.1000,9.2500,1799544
2020-03-23,10.7500,11.9700,10.0000,10.3000,3581637
2020-03-20,11.4500,11.8000,10.0000,10.6700,3501046
2020-03-19,12.5500,13.3000,11.2700,11.3500,2632381
2020-03-18,13.0500,13.7700,11.8000,12.1300,3638857
2020-03-17,13.0100,14.0000,11.5600,12.3600,2840816
2020-03-16,11.9900,15.3000,10.5100,13.1400,6817183
2020-03-13,10.5500,13.9400,10.1200,12.5100,5744596
2020-03-12,16.0000,16.0000,11.5400,12.5500,9693102
2020-03-11,9.8800,13.5000,9.2600,11.4100,13065579
2020-03-10,11.2400,11.2400,8.3300,9.2100,4802767
2020-03-09,14.8000,15.2200,10.0900,11.6800,5088121
2020-03-06,16.5500,16.7500,14.1200,14.4200,5407656
2020-03-05,18.1900,18.5500,15.8000,16.4700,7626074
2020-03-04,16.7500,19.9700,15.5100,16.0000,8648255
2020-03-03,13.4100,21.6500,13.0000,19.1900,21817199
2020-03-02,19.5900,19.6200,12.6100,16.0000,15581381
2020-02-28,36.8200,41.5900,16.6100,21.0000,35176991
2020-02-27,20.1800,27.5000,16.3500,25.2500,39681658
2020-02-26,10.8100,13.4500,10.4600,12.3900,24213308
2020-02-25,6.8000,10.8000,6.2200,10.0000,19319711
2020-02-24,6.6500,7.4000,6.1200,7.1400,9969991
2020-02-21,5.3200,5.7700,5.2500,5.7000,3193334
2020-02-20,4.8000,5.3800,4.7100,5.2100,1774788
2020-02-19,4.8200,4.9600,4.7000,4.9100,915577
2020-02-18,5.3400,5.3800,4.8800,5.0300,1338494
2020-02-14,5.2000,5.4000,5.0200,5.1800,1717993
2020-02-13,5.9000,5.9800,5.0900,5.1800,7984739
2020-02-12,5.3300,5.3300,4.6100,4.7400,1761803
2020-02-11,5.5500,5.5500,5.1400,5.2300,1262879
2020-02-10,5.7100,5.9500,5.5100,5.6300,1472979
2020-02-07,5.3600,5.9400,5.3100,5.5700,2081719
2020-02-06,5.2000,5.7500,5.1200,5.5200,1398471
2020-02-05,4.8900,5.5000,4.8600,5.2100,1288495
2020-02-04,5.6600,5.6700,4.6800,5.2100,2751259
2020-02-03,6.8000,7.1400,5.5200,5.9100,3576768
2020-01-31,6.6000,6.9000,6.2500,6.7200,5142623
2020-01-30,6.1200,6.9000,5.8100,6.2400,6880157
2020-01-29,5.8500,5.9000,5.0000,5.8200,3834896
2020-01-28,7.1600,7.1600,5.4500,5.7000,5475607
2020-01-27,7.8000,7.8600,7.0000,7.7000,11478062
2020-01-24,5.3100,6.8700,5.1900,6.0000,12209902
2020-01-23,5.1500,5.5600,4.6999,5.0900,4520150
2020-01-22,4.9500,5.1000,4.0200,4.6000,3119659
2020-01-21,4.2500,5.2500,3.8600,4.8500,6587663
2020-01-17,3.5400,3.5500,3.4100,3.5000,18647
2020-01-16,3.4600,3.5800,3.4600,3.5079,8574
2020-01-15,3.5100,3.5800,3.4600,3.4600,14363
